Contact Angle  Base Radius
#File:  11 1000
117.179164583  1.86488944908
109.792097374  2.07023234102
110.028306415  2.06051990978
110.099592215  2.05876540392
111.33039624  2.03209071069
108.456856629  2.10612103556
110.97528187  2.04094750053
110.115564427  2.06058045704
109.386217937  2.08044004123
101.697199618  2.25787507694
102.546033158  2.23940545577
103.048073947  2.23180366675
107.794111375  2.11226258662
104.681532023  2.19441547163
100.743774845  2.28571419311
103.567264285  2.22108479422
106.247289088  2.14993095796
103.846427231  2.20805801087
105.969033483  2.16279048969
108.045628623  2.11277191486
104.00869276  2.20877951147
104.321846188  2.20038999016
103.843724621  2.21418242711
100.570592007  2.29071016795
102.84343995  2.23413338602
104.373101356  2.1975148604
102.577450523  2.24078601519
103.967585678  2.20723451758
104.43339649  2.20073055854
103.560729579  2.21961304721
104.411913515  2.19622835489
104.148526031  2.2018312142
104.806147186  2.18858729497
110.150494041  2.06075524631
106.675895785  2.14248497242
101.649667269  2.26492494287
104.452182731  2.19153133355
105.281158818  2.17547868003
107.616500264  2.12147530659
107.954955413  2.11202096608
109.597905662  2.0686731615
110.47722789  2.04948407127
105.904521371  2.15839649153
105.982633344  2.16547427147
110.163360609  2.06070689868
108.540540518  2.0985079017
110.495269638  2.05828532027
112.23529317  2.00946669993
108.96048464  2.09422471164
111.402070486  2.02816152465
107.528047626  2.12718290827
105.097467071  2.17758974003
104.287710248  2.20156339727
102.944120759  2.23758188546
106.727419855  2.14823606245
108.962424199  2.09467794313
103.124294104  2.23207116863
103.957902671  2.21043106094
102.075478716  2.25809320458
102.481323772  2.24839248606
109.023815984  2.08591716113
109.62064078  2.06876769417
107.677406992  2.1163310448
109.004930133  2.08473352889
109.517778233  2.0715690683
111.206404112  2.0281085608
108.952995624  2.08920597326
104.770315736  2.18914001881
102.146812705  2.25014288762
101.398178681  2.26915759306
102.883172019  2.23939751654
105.517023157  2.17770541725
100.763607731  2.28623346941
103.359337145  2.22659178095
104.563164823  2.18809831807
104.024608283  2.19966184976
102.255246654  2.25314188033
